2015-11-02 12:02:33 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 28
2015-11-02 12:02:33 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 31
2015-11-02 12:02:33 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:33 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:33 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 36
2015-11-02 12:02:33 - PHP Notice:  Undefined property: Loader::$language in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 41
2015-11-02 12:02:34 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 28
2015-11-02 12:02:34 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 31
2015-11-02 12:02:34 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:34 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:34 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 36
2015-11-02 12:02:34 - PHP Notice:  Undefined property: Loader::$language in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 41
2015-11-02 12:02:55 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 28
2015-11-02 12:02:55 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 31
2015-11-02 12:02:55 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:55 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:55 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 36
2015-11-02 12:02:55 - PHP Notice:  Undefined property: Loader::$language in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 41
2015-11-02 12:02:56 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 28
2015-11-02 12:02:56 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 31
2015-11-02 12:02:56 - PHP Notice:  Undefined variable: module in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:56 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 34
2015-11-02 12:02:56 - PHP Notice:  Undefined index: date_end in D:\xampp\htdocs\mycncart\catalog\view\theme\crypto\template\module\featured.tpl on line 36
